학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000004947,숲실초등학교,초등학교,1944-06-13,공립,본교,운영,강원특별자치도 강릉시 강동면 임곡리 344,강원특별자치도 강릉시 강동면 임곡로 890-14,7801000,강원특별자치도교육청,7832000,강원특별자치도강릉교육지원청,2013-11-29,2024-11-08,37.67721845,128.9689053,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000025644,고진초등학교,초등학교,2024-03-01,공립,본교,운영,경기도 용인시 처인구 고림동 1020,경기도 용인시 처인구 고림로 165-1,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2024-11-08,37.24732778,127.2184361,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000024643,치동고등학교,고등학교,2024-03-01,공립,본교,운영,경기도 화성시 영천동 791,경기도 화성시 동탄순환대로 881-15,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-02-28,37.2076057,127.0916951,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000023248,운유고등학교,고등학교,2024-03-01,공립,본교,운영,경기도 김포시 장기동 1886-3,경기도 김포시 김포한강2로 236,7530000,경기도교육청,7771000,경기도김포교육지원청,2013-11-29,2024-11-08,37.64595367,126.6616575,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007807,이방초등학교장천분교장,초등학교,1946-11-22,공립,분교,운영,경상남도 창녕군 이방면 장천리 436,경상남도 창녕군 이방면 이방대합로 285,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2013-11-29,2024-11-08,35.59958782,128.3746252,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000005656,온양초등학교,초등학교,1908-06-17,공립,본교,운영,충청남도 아산시 읍내동 150,충청남도 아산시 온주길26번길 10,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,2024-11-08,36.76061021,127.0180678,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000002582,동현초등학교,초등학교,1978-12-20,공립,본교,운영,부산광역시 금정구 부곡동 337-1,부산광역시 금정구 동현로 36,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2024-11-08,35.2220225,129.0927597,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000005435,구룡초등학교,초등학교,1945-04-28,공립,본교,운영,충청북도 영동군 용산면 구촌리 141-1,충청북도 영동군 용산면 용산로 366,8000000,충청북도교육청,8071000,충청북도영동교육지원청,2013-11-29,2024-11-08,36.26402003,127.8280838,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000025614,서울하늘숲초등학교,초등학교,2019-03-01,공립,본교,운영,서울특별시 구로구 천왕동 산13-1,서울특별시 구로구 오리로 1106,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-11-08,37.48418114,126.8416517,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000012917,온양용화고등학교,고등학교,2005-03-04,공립,본교,운영,충청남도 아산시 용화동 38-17,충청남도 아산시 용화고길 10,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,2024-11-08,36.77371849,127.0028101,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000025372,서울해누리초등학교,초등학교,2019-03-01,공립,본교,운영,서울특별시 송파구 가락동 479-1,서울특별시 송파구 송파대로37길 95,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-11-08,37.49824966,127.1021917,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030355,비아고등학교,고등학교,2020-03-01,사립,본교,운영,광주광역시 광산구 월계동 904,광주광역시 광산구 첨단중앙로181번길 42-26,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2024-11-08,35.22274246,126.8363851,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007918,위림초등학교,초등학교,1947-04-16,공립,본교,운영,경상남도 함양군 함양읍 백연리 511,경상남도 함양군 함양읍 함양남서로 1234,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2013-11-29,2024-11-08,35.5216893,127.7193166,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000027390,평택서재초등학교,초등학교,2018-11-01,공립,본교,운영,경기도 평택시 동삭동 856,경기도 평택시 상서재로6길 19,7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2024-11-08,37.0182477,127.1039672,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000004974,황지중앙초등학교,초등학교,1964-03-14,공립,본교,운영,강원특별자치도 태백시 황지동 274-10,강원특별자치도 태백시 태백로 810,7801000,강원특별자치도교육청,7852000,강원특별자치도태백교육지원청,2013-11-29,2024-11-08,37.1803949,128.9841425,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000027583,글빛초등학교,초등학교,2023-03-01,공립,본교,운영,경기도 수원시 영통구 망포동 92-43,경기도 수원시 영통구 망포로84번길 15,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2024-11-08,37.23954453,127.0433337,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030676,연푸른초등학교,초등학교,2023-03-01,공립,본교,운영,경기도 양주시 옥정동 940,경기도 양주시 옥정서로1길 27,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2024-11-08,37.81470052,127.087108,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000027537,해창초등학교,초등학교,2024-09-01,공립,본교,운영,경기도 평택시 고덕동 2699-5,경기도 평택시 고덕국제5로 165,7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2024-08-30,37.03550398,127.0238664,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007709,밀성초등학교,초등학교,1937-04-19,공립,본교,운영,경상남도 밀양시 내이동 593-1,경상남도 밀양시 석정로 139,9010000,경상남도교육청,9101000,경상남도밀양교육지원청,2013-11-29,2024-11-08,35.50217327,128.7512064,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000027201,화접중학교,중학교,2024-03-01,공립,본교,운영,경기도 남양주시 별내면 청학리 421,경기도 남양주시 별내면 청학로132번길 30,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2024-11-08,37.71101831,127.1127185,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000026521,전주양현초등학교,초등학교,2019-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 만성동 1357-4,전북특별자치도 전주시 덕진구 만성서로 96,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2024-11-08,35.84678295,127.0743556,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000024008,양청초등학교,초등학교,2019-03-01,공립,본교,운영,충청북도 청주시 청원구 오창읍 양청리 702,충청북도 청주시 청원구 오창읍 양청택지3길 15,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2024-11-08,36.72013887,127.4254096,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007909,단성초등학교,초등학교,1908-10-27,공립,본교,운영,경상남도 산청군 단성면 성내리 596-2,경상남도 산청군 단성면 목화로961번길 10,9010000,경상남도교육청,9191000,경상남도산청교육지원청,2013-11-29,2024-11-08,35.29738957,127.9558601,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007740,진목초등학교,초등학교,2002-03-01,공립,본교,운영,경상남도 거제시 옥포동 1272-3,경상남도 거제시 진목1길 101,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2013-11-29,2024-11-08,34.90163707,128.6840774,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007590,금산초등학교,초등학교,1922-10-09,공립,본교,운영,경상남도 진주시 금산면 중천리 251,경상남도 진주시 금산면 금산로 75,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2024-11-08,35.21530273,128.1443217,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000026002,전주홍산초등학교,초등학교,2016-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1685,전북특별자치도 전주시 완산구 마전들로 30,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2024-11-08,35.82067207,127.0989525,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000006046,군산산북초등학교,초등학교,1993-09-01,공립,본교,운영,전북특별자치도 군산시 산북동 3580,전북특별자치도 군산시 원산북2길 29,8321000,전북특별자치도교육청,8342000,전북특별자치도군산교육지원청,2013-11-29,2024-11-08,35.96427778,126.681832,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000006235,금산초등학교,초등학교,1947-06-10,공립,본교,운영,전북특별자치도 김제시 금산면 금산리 339,전북특별자치도 김제시 금산면 모악로 383,8321000,전북특별자치도교육청,8382000,전북특별자치도김제교육지원청,2013-11-29,2024-11-08,35.72072233,127.0321781,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000025237,능허대중학교,중학교,2005-03-02,공립,본교,운영,인천광역시 연수구 송도동 191-10,인천광역시 연수구 송도교육로 31,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2024-11-08,37.37353727,126.6578118,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000026561,두왕초등학교,초등학교,2020-03-01,공립,본교,운영,울산광역시 남구 두왕동 749-1,울산광역시 남구 테크노산업로82번길 17,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2013-11-29,2024-11-08,35.51391445,129.2937934,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007127,장천초등학교,초등학교,1927-09-15,공립,본교,운영,경상북도 구미시 장천면 하장리 503-1,경상북도 구미시 장천면 강동로 236,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2024-11-08,36.13082394,128.4944932,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007634,대방초등학교,초등학교,1980-08-01,공립,본교,운영,경상남도 사천시 서동 76,경상남도 사천시 각산로 88,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2013-11-29,2024-11-08,34.9318961,128.0658446,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000009523,모가중학교,중학교,1950-03-01,공립,본교,운영,경기도 이천시 모가면 원두리 380-1,경기도 이천시 모가면 진상미로1385번길 114,7530000,경기도교육청,7741000,경기도이천교육지원청,2013-11-29,2024-11-08,37.17611903,127.4733746,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000004529,덕은초등학교,초등학교,1936-04-18,공립,본교,운영,경기도 고양시 덕양구 화전동 274-5,경기도 고양시 덕양구 중앙로176번길 18-4,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2024-11-08,37.60332601,126.8727127,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030433,퇴계중학교,중학교,2021-03-01,공립,본교,운영,강원특별자치도 춘천시 퇴계동 1238,강원특별자치도 춘천시 안마산로 123,7801000,강원특별자치도교육청,7812000,강원특별자치도춘천교육지원청,2013-11-29,2024-11-08,37.8561017,127.7319366,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000027217,다산가람초등학교,초등학교,2018-09-01,공립,본교,운영,경기도 남양주시 다산동 6136,경기도 남양주시 다산중앙로81번길 51,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2024-11-08,37.61962828,127.1490891,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030571,경호초등학교,초등학교,1968-04-19,공립,본교,운영,전라남도 여수시 경호동 462-1,전라남도 여수시 대경도4길 48,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2013-11-29,2024-11-08,34.71697135,127.7279316,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000011769,거제여자상업고등학교,고등학교,1978-03-07,공립,본교,운영,경상남도 거제시 거제면 동상리 646,경상남도 거제시 거제면 동상3길 21,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2013-11-29,2024-11-08,34.85121955,128.5946948,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000002175,서울고일초등학교,초등학교,1984-03-01,공립,본교,운영,서울특별시 강동구 상일동 125,서울특별시 강동구 구천면로93길 20,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-11-08,37.55154262,127.1694101,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000011232,가조중학교,중학교,1953-04-15,공립,본교,운영,경상남도 거창군 가조면 마상리 321-1,경상남도 거창군 가조면 가조가야로 1101-23,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2013-11-29,2024-11-08,35.71240135,128.015285,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000027502,삼례동초등학교,초등학교,1949-11-05,공립,본교,운영,전북특별자치도 완주군 삼례읍 수계리 1225-2,전북특별자치도 완주군 삼례읍 삼봉4로 9,8321000,전북특별자치도교육청,8392000,전북특별자치도완주교육지원청,2013-11-29,2024-11-08,35.92248787,127.1177604,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007595,수곡초등학교,초등학교,1932-05-02,공립,본교,운영,경상남도 진주시 수곡면 대천리 98-1,경상남도 진주시 수곡면 곤수로 1000,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2024-11-08,35.20117977,127.9317405,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007593,명석초등학교,초등학교,1949-12-15,공립,본교,운영,경상남도 진주시 명석면 우수리 109,경상남도 진주시 명석면 광제산로 23,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2024-11-08,35.21810609,128.0402584,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030309,다율초등학교,초등학교,2022-03-01,공립,본교,운영,경기도 파주시 다율동 249-10,경기도 파주시 다율로 30,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2024-11-08,37.73798274,126.7269584,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000005670,탕정초등학교,초등학교,1934-06-15,공립,본교,운영,충청남도 아산시 탕정면 갈산리 529,충청남도 아산시 탕정면 탕정면로 105,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,2024-11-08,36.80203334,127.0661893,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000022657,송안초등학교,초등학교,2019-09-01,공립,본교,운영,경기도 군포시 도마교동 458-2,경기도 군포시 송부로73번길 7,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2024-11-08,37.31798939,126.9211924,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000013326,대아고등학교,고등학교,1966-04-08,사립,본교,운영,경상남도 진주시 이현동 316,경상남도 진주시 서장대로185번길 14,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2024-11-08,35.18992819,128.0583889,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030439,진영장등초등학교,초등학교,2021-03-01,공립,본교,운영,경상남도 김해시 진영읍 진영리 1706,경상남도 김해시 진영읍 장등로 120,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2024-11-08,35.31261423,128.7307199,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030564,와우고등학교,고등학교,2023-03-01,공립,본교,운영,경기도 화성시 봉담읍 동화리 237,경기도 화성시 봉담읍 동화서북안길 5,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2024-11-08,37.21952636,126.9668641,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030567,규장초등학교,초등학교,2025-03-01,공립,본교,운영,경기도 수원시 권선구 권선동 1339,경기도 수원시 권선구 덕영대로1190번길 152,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-02-26,37.2425677,127.0202121,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030549,천안능수초등학교,초등학교,2023-03-02,공립,본교,운영,충청남도 천안시 동남구 청당동 54-4,충청남도 천안시 동남구 청당용평로 112,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2013-11-29,2024-11-08,36.77681589,127.1604097,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000023974,초서초등학교,초등학교,2024-03-01,공립,본교,운영,경상북도 포항시 북구 흥해읍 초곡리 1769,경상북도 포항시 북구 초곡지구로 152,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2024-11-08,36.09412747,129.3333431,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000024229,포항용산초등학교,초등학교,2024-03-01,공립,본교,운영,경상북도 포항시 남구 오천읍 용산리 360-11,경상북도 포항시 남구 오천읍 정몽주로 309,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2024-11-08,35.9481799973,129.4085662,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000024075,과천율목초등학교,초등학교,2024-03-01,공립,본교,운영,경기도 과천시 갈현동 240-2,경기도 과천시 과천대로2길 37,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2024-11-08,37.40785863,126.9822609,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000002124,서울가락초등학교,초등학교,1981-09-09,공립,본교,운영,서울특별시 송파구 가락동 477,서울특별시 송파구 송파대로37길 45,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-11-08,37.50002115,127.1076425,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000001904,서울응암초등학교,초등학교,1962-11-12,공립,본교,운영,서울특별시 은평구 응암동 340,서울특별시 은평구 가좌로6길 20,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-11-08,37.58875319,126.9216161,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000011069,삼천포중학교,중학교,1946-09-01,사립,본교,운영,경상남도 사천시 벌리동 10,경상남도 사천시 벌리6길 77,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2013-11-29,2024-11-08,34.94270825,128.0848167,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030418,안산해솔중학교,중학교,2021-03-01,공립,본교,운영,경기도 안산시 상록구 사동 1639-13,경기도 안산시 상록구 해양5로 10,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,2024-11-08,37.28132907,126.8339796,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000027451,서울양원숲초등학교,초등학교,2022-03-01,공립,본교,운영,서울특별시 중랑구 망우동 306-37,서울특별시 중랑구 양원역로 95,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-11-08,37.60934379,127.1051943,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000027179,광양골약중학교,중학교,1971-03-09,공립,본교,운영,전라남도 광양시 성황동 1853-274,전라남도 광양시 도이2길 6,8490000,전라남도교육청,8551000,전라남도광양교육지원청,2013-11-29,2024-11-26,34.93469963,127.6722785,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000010087,선도중학교,중학교,1954-10-05,공립,본교,운영,충청남도 아산시 선장면 군덕리 73-1,충청남도 아산시 선장면 서부남로 21,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,2024-11-08,36.78878323,126.8639353,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000024056,대구연경초등학교,초등학교,2021-03-01,공립,본교,운영,대구광역시 북구 연경동 937,대구광역시 북구 연경중앙로11길 19,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2013-11-29,2024-11-08,35.94573483,128.6160323,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000011040,진주여자중학교,중학교,1925-03-01,공립,본교,운영,경상남도 진주시 이현동 91,경상남도 진주시 평거로 195,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2024-11-08,35.1843521,128.0659306,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007638,서포초등학교,초등학교,1924-09-10,공립,본교,운영,경상남도 사천시 서포면 구평리 653,경상남도 사천시 서포면 나분이길 9,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2013-11-29,2024-11-08,35.00851336,127.9767902,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007751,오비초등학교,초등학교,1945-06-08,공립,본교,운영,경상남도 거제시 연초면 오비리 657-1,경상남도 거제시 연초면 오비5길 21,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2013-11-29,2024-11-08,34.9228299,128.622399,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000024150,마산고운초등학교,초등학교,2021-03-01,공립,본교,운영,경상남도 창원시 마산합포구 월영동 741,경상남도 창원시 마산합포구 가포로 141,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2024-11-08,35.17272252,128.5613815,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000004975,태서초등학교,초등학교,1982-04-10,공립,본교,운영,강원특별자치도 태백시 황지동 274-724,강원특별자치도 태백시 태백로 802,7801000,강원특별자치도교육청,7852000,강원특별자치도태백교육지원청,2013-11-29,2024-11-08,37.18003577,128.9824439,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007710,밀양초등학교,초등학교,1897-11-01,공립,본교,운영,경상남도 밀양시 삼문동 3-5,경상남도 밀양시 중앙로 282-12,9010000,경상남도교육청,9101000,경상남도밀양교육지원청,2013-11-29,2024-11-08,35.48941433,128.7554457,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000013342,사천여자고등학교,고등학교,1967-03-04,사립,본교,운영,경상남도 사천시 정동면 고읍리 438-37,경상남도 사천시 사천읍 옥산로 47,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2013-11-29,2024-11-08,35.08045251,128.0883888,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000024939,명원초등학교,초등학교,2020-03-01,공립,본교,운영,부산광역시 강서구 명지동 3405,부산광역시 강서구 명지국제6로 147,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-12-02,2024-11-08,35.09412838,128.9149353,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000003387,대전문창초등학교,초등학교,1955-04-06,공립,본교,운영,대전광역시 중구 부사동 94-15,대전광역시 중구 문창로 55,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2024-11-08,36.31746755,127.4329779,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000007392,풍양초등학교,초등학교,1934-01-10,공립,본교,운영,경상북도 예천군 풍양면 낙상리 220,경상북도 예천군 풍양면 낙상1길 50-10,8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2024-11-08,36.51203002,128.299058,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030811,부산온라인학교,고등학교,2025-03-01,공립,본교,운영,부산광역시 북구 덕천동 485-1,부산광역시 북구 의성로47번길 45-4,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,,35.21765618,129.0115807,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030814,아산충무고등학교,중학교,2025-03-01,공립,본교,운영,충청남도 아산시 둔포면 석곡리 184-1,충청남도 아산시 둔포면 둔포로38번길 145,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,,36.92863418,127.053755,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030815,단재고등학교,고등학교,2025-03-01,공립,본교,운영,충청북도 청주시 상당구 가덕면 수곡리 255,충청북도 청주시 상당구 가덕면 계산은행로 12,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,,36.56288516,127.5611581,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000030816,도현중학교,중학교,2025-03-01,공립,본교,운영,경기도 용인시 처인구 모현면 왕산리 599,경기도 용인시 처인구 모현읍 왕산로 15,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2025-02-26,37.34579351,127.2568644,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000025647,고진중학교,중학교,2024-03-01,공립,본교,운영,경기도 용인시 처인구 고림동 635-15,경기도 용인시 처인구 고림로 165-2,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2024-11-08,37.24776317,127.2174318,2025-03-25,B555223,재단법인한국지방교육행정연구재단
B000002301,서울일원초등학교,초등학교,1984-10-10,공립,본교,운영,서울특별시 강남구 일원동 691,서울특별시 강남구 영동대로4길 20,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2024-11-08,37.48978808,127.0763669,2025-03-25,B555223,재단법인한국지방교육행정연구재단
