번호,국가,물질명,한국식품유형,식품유형,함량정보,combined_text
43767,미국,malic acid,과일·채소류음료,가공과일 및 과일주스,"(GRAS: [향미증진제, 향료 및 보조제, 산도조절제] 유아용 식품 제외, 3.5% 이하, GMP에 따라 사용)","malic acid (GRAS: [향미증진제, 향료 및 보조제, 산도조절제] 유아용 식품 제외, 3.5% 이하, GMP에 따라 사용)"
43766,미국,potassium alginate,과일·채소류음료,가공과일 및 과일주스,"(GRAS: [안정제, 증점제] 0.25% 이하)","potassium alginate (GRAS: [안정제, 증점제] 0.25% 이하)"
43765,미국,sodium alginate,과일·채소류음료,가공과일 및 과일주스,"(GRAS: [조성보조제, 텍스처라이저] 2.0% 이하)","sodium alginate (GRAS: [조성보조제, 텍스처라이저] 2.0% 이하)"
43764,미국,calcium chloride,기타 농산가공품류,가공과일 및 과일주스,"(GRAS: [고결방지제, 보존료, 응고제, 보존 및 절임제, 응고제, 향미증진제, 습윤제, 영양강화제, 산도조절제, 가공보조제, 안정제, 증점제, 계면활성제, 상승제, 텍스처라이저] 0.2% 이하, GMP에 따라 사용)","calcium chloride (GRAS: [고결방지제, 보존료, 응고제, 보존 및 절임제, 응고제, 향미증진제, 습윤제, 영양강화제, 산도조절제, 가공보조제, 안정제, 증점제, 계면활성제, 상승제, 텍스처라이저] 0.2% 이하, GMP에 따라 사용)"
43763,미국,carnauba wax,기타 농산가공품류,가공과일 및 과일주스,"(GRAS: [고결방지제, 조성보조제, 윤활제, 이형제, 표면처리제] GMP에 따라 사용)","carnauba wax (GRAS: [고결방지제, 조성보조제, 윤활제, 이형제, 표면처리제] GMP에 따라 사용)"
43762,미국,β-carotene,기타 농산가공품류,가공과일 및 과일주스,(GRAS: [영양강화제] GMP에 따라 사용),β-carotene (GRAS: [영양강화제] GMP에 따라 사용)
43761,미국,gum tragacanth,기타 농산가공품류,가공과일 및 과일주스,"(GRAS: [유화제, 유화제염, 조성보조제, 안정제, 증점제] 0.2% 이하)","gum tragacanth (GRAS: [유화제, 유화제염, 조성보조제, 안정제, 증점제] 0.2% 이하)"
43760,미국,malic acid,기타 농산가공품류,가공과일 및 과일주스,"(GRAS: [향미증진제, 향료 및 보조제, 산도조절제] 유아용 식품 제외, 3.5% 이하, GMP에 따라 사용)","malic acid (GRAS: [향미증진제, 향료 및 보조제, 산도조절제] 유아용 식품 제외, 3.5% 이하, GMP에 따라 사용)"
43759,미국,potassium alginate,기타 농산가공품류,가공과일 및 과일주스,"(GRAS: [안정제, 증점제] 0.25% 이하)","potassium alginate (GRAS: [안정제, 증점제] 0.25% 이하)"
43758,미국,sodium alginate,기타 농산가공품류,가공과일 및 과일주스,"(GRAS: [조성보조제, 텍스처라이저] 2.0% 이하)","sodium alginate (GRAS: [조성보조제, 텍스처라이저] 2.0% 이하)"
43757,미국,menhaden oil,과일·채소류음료,가공과일주스,"(GRAS:  1.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  1.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43756,미국,odorless light petroleum hydrocarbons,그 외 분류,가공된 캔디무와 효모,[소포제] 본 장의 173.340를 준수,odorless light petroleum hydrocarbons [소포제] 본 장의 173.340를 준수
43755,미국,guar gum,과일·채소류음료,가공채소 및 채소주스류,"(GRAS: [유화제, 유화제염, 응고제, 조성보조제, 안정제, 증점제] 2.0% 이하)","guar gum (GRAS: [유화제, 유화제염, 응고제, 조성보조제, 안정제, 증점제] 2.0% 이하)"
43754,미국,guar gum,과일·채소류음료,"가공채소 및 채소주스류(상업적으로 가공된 모든 채소, 채소 기반 요리, 냉동 멀티코스 채소 식사, 채소주스 및 블렌드 포함)","(GRAS: [유화제, 유화제염, 응고제, 조성보조제, 안정제, 증점제] 2.0% 이하)","guar gum (GRAS: [유화제, 유화제염, 응고제, 조성보조제, 안정제, 증점제] 2.0% 이하)"
43753,미국,menhaden oil,과일·채소류음료,가공채소주스,"(GRAS:  1.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  1.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43752,미국,manganese citrate,햄류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese citrate (GRAS: [영양강화제] GMP에 따라 사용)
43751,미국,manganese gluconate,햄류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese gluconate (GRAS: [영양강화제] GMP에 따라 사용)
43750,미국,manganese sulfate (Manganese Sulphate),햄류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese sulfate (Manganese Sulphate) (GRAS: [영양강화제] GMP에 따라 사용)
43749,미국,menhaden oil,햄류,가금류제품,"(GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43748,미국,manganese citrate,소시지류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese citrate (GRAS: [영양강화제] GMP에 따라 사용)
43747,미국,manganese gluconate,소시지류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese gluconate (GRAS: [영양강화제] GMP에 따라 사용)
43746,미국,manganese sulfate (Manganese Sulphate),소시지류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese sulfate (Manganese Sulphate) (GRAS: [영양강화제] GMP에 따라 사용)
43745,미국,menhaden oil,소시지류,가금류제품,"(GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43744,미국,manganese citrate,베이컨류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese citrate (GRAS: [영양강화제] GMP에 따라 사용)
43743,미국,manganese gluconate,베이컨류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese gluconate (GRAS: [영양강화제] GMP에 따라 사용)
43742,미국,manganese sulfate (Manganese Sulphate),베이컨류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese sulfate (Manganese Sulphate) (GRAS: [영양강화제] GMP에 따라 사용)
43741,미국,menhaden oil,베이컨류,가금류제품,"(GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43740,미국,manganese citrate,건조저장육류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese citrate (GRAS: [영양강화제] GMP에 따라 사용)
43739,미국,manganese gluconate,건조저장육류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese gluconate (GRAS: [영양강화제] GMP에 따라 사용)
43738,미국,manganese sulfate (Manganese Sulphate),건조저장육류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese sulfate (Manganese Sulphate) (GRAS: [영양강화제] GMP에 따라 사용)
43737,미국,menhaden oil,건조저장육류,가금류제품,"(GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43736,미국,listeria-specific bacteriophage preparation,양념육류,가금류제품,GMP의 500cm 2당 약 1mL의 비율의 첨가물 직접 분무 도포(direct spray application)와 일치해야됨,listeria-specific bacteriophage preparation GMP의 500cm 2당 약 1mL의 비율의 첨가물 직접 분무 도포(direct spray application)와 일치해야됨
43735,미국,manganese citrate,양념육류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese citrate (GRAS: [영양강화제] GMP에 따라 사용)
43734,미국,manganese gluconate,양념육류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese gluconate (GRAS: [영양강화제] GMP에 따라 사용)
43733,미국,manganese sulfate (Manganese Sulphate),양념육류,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese sulfate (Manganese Sulphate) (GRAS: [영양강화제] GMP에 따라 사용)
43732,미국,menhaden oil,양념육류,가금류제품,"(GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43731,미국,listeria-specific bacteriophage preparation,식육추출가공품,가금류제품,GMP의 500cm 2당 약 1mL의 비율의 첨가물 직접 분무 도포(direct spray application)와 일치해야됨,listeria-specific bacteriophage preparation GMP의 500cm 2당 약 1mL의 비율의 첨가물 직접 분무 도포(direct spray application)와 일치해야됨
43730,미국,manganese citrate,식육추출가공품,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese citrate (GRAS: [영양강화제] GMP에 따라 사용)
43729,미국,manganese gluconate,식육추출가공품,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese gluconate (GRAS: [영양강화제] GMP에 따라 사용)
43728,미국,manganese sulfate (Manganese Sulphate),식육추출가공품,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese sulfate (Manganese Sulphate) (GRAS: [영양강화제] GMP에 따라 사용)
43727,미국,menhaden oil,식육추출가공품,가금류제품,"(GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43726,미국,listeria-specific bacteriophage preparation,식육간편조리세트,가금류제품,GMP의 500cm 2당 약 1mL의 비율의 첨가물 직접 분무 도포(direct spray application)와 일치해야됨,listeria-specific bacteriophage preparation GMP의 500cm 2당 약 1mL의 비율의 첨가물 직접 분무 도포(direct spray application)와 일치해야됨
43725,미국,listeria-specific bacteriophage preparation,식육함유가공품,가금류제품,GMP의 500cm 2당 약 1mL의 비율의 첨가물 직접 분무 도포(direct spray application)와 일치해야됨,listeria-specific bacteriophage preparation GMP의 500cm 2당 약 1mL의 비율의 첨가물 직접 분무 도포(direct spray application)와 일치해야됨
43724,미국,manganese citrate,식육함유가공품,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese citrate (GRAS: [영양강화제] GMP에 따라 사용)
43723,미국,manganese gluconate,식육함유가공품,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese gluconate (GRAS: [영양강화제] GMP에 따라 사용)
43722,미국,manganese sulfate (Manganese Sulphate),식육함유가공품,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese sulfate (Manganese Sulphate) (GRAS: [영양강화제] GMP에 따라 사용)
43721,미국,menhaden oil,식육함유가공품,가금류제품,"(GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43720,미국,manganese citrate,포장육,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese citrate (GRAS: [영양강화제] GMP에 따라 사용)
43719,미국,manganese gluconate,포장육,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese gluconate (GRAS: [영양강화제] GMP에 따라 사용)
43718,미국,manganese sulfate (Manganese Sulphate),포장육,가금류제품,(GRAS: [영양강화제] GMP에 따라 사용),manganese sulfate (Manganese Sulphate) (GRAS: [영양강화제] GMP에 따라 사용)
43717,미국,menhaden oil,포장육,가금류제품,"(GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  3.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43716,미국,corn syrup,유크림류,가벼운 거품낸 크림,일반사용기준(규정 Sec. 131.157 Light whipping cream 참조),corn syrup 일반사용기준(규정 Sec. 131.157 Light whipping cream 참조)
43715,미국,high fructose corn syrup,유크림류,가벼운 거품낸 크림,일반사용기준(규정 Sec. 131.157 Light whipping cream 참조),high fructose corn syrup 일반사용기준(규정 Sec. 131.157 Light whipping cream 참조)
43714,미국,invert sugar,유크림류,가벼운 거품낸 크림,일반사용기준(규정 Sec. 131.157 Light whipping cream 참조),invert sugar 일반사용기준(규정 Sec. 131.157 Light whipping cream 참조)
43713,미국,malt syrup (malt extract),유크림류,가벼운 거품낸 크림,일반사용기준(규정 Sec. 131.157 Light whipping cream 참조),malt syrup (malt extract) 일반사용기준(규정 Sec. 131.157 Light whipping cream 참조)
43712,미국,sucrose,유크림류,가벼운 거품낸 크림,일반사용기준(규정 Sec. 131.157 Light whipping cream 참조),sucrose 일반사용기준(규정 Sec. 131.157 Light whipping cream 참조)
43711,미국,calcium chloride,치즈류,"가열치즈, 코흐 카세","0.02% 이하(규정 Sec. 133.127 Cook cheese, koch kaese 참조)","calcium chloride 0.02% 이하(규정 Sec. 133.127 Cook cheese, koch kaese 참조)"
43710,미국,caraway seed,치즈류,"가열치즈, 코흐 카세","일반사용기준(규정 Sec. 133.127 Cook cheese, koch kaese 참조)","caraway seed 일반사용기준(규정 Sec. 133.127 Cook cheese, koch kaese 참조)"
43709,미국,clotting enzymes,치즈류,"가열치즈, 코흐 카세","일반사용기준(규정 Sec. 133.127 Cook cheese, koch kaese 참조)","clotting enzymes 일반사용기준(규정 Sec. 133.127 Cook cheese, koch kaese 참조)"
43708,미국,culture of white mold,치즈류,"가열치즈, 코흐 카세","일반사용기준(규정 Sec. 133.127 Cook cheese, koch kaese 참조)","culture of white mold 일반사용기준(규정 Sec. 133.127 Cook cheese, koch kaese 참조)"
43707,미국,"calcium-sodium ethylenediaminetetraacetate (calcium sodium EDTA, EDTA CaNa)",향신료가공품,가용성 담체(carrier)에 있는 향신료 추출물,[색상 및 향미 유지 촉진] 60ppm 이하,"calcium-sodium ethylenediaminetetraacetate (calcium sodium EDTA, EDTA CaNa) [색상 및 향미 유지 촉진] 60ppm 이하"
43706,미국,oxidized polyethylene,식물성 원료,가지,[보호 코팅제(protective coating)] GMP에 따라,oxidized polyethylene [보호 코팅제(protective coating)] GMP에 따라
