"기관ID","주소","병원분류","병원분류명","응급의료기관코드","응급의료기관코드명","응급실운영여부","비고","기관설명상세","간이약도","기관명","대표전화1","응급실전화","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업시간"
"A1100014","서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)","A","종합병원","G001","권역응급의료센터","1","점심시간 13:00~14:00","야간진료  - 월~금: 20시까지, 토: 17시까지","구로구청 인근","고려대학교의과대학부속구로병원","02-2626-1114","02-2626-1550","1730","1730","1730","1730","1730","1200","1600","1600","0900","0900","0900","0900","0900","0900","1030","1030","083","08","126.8847449363546","37.49211114525054","2025-04-07 15:14:43.0"
"A1100026","서울특별시 구로구 경인로 427, 구로성심병원 (고척동)","A","종합병원","G007","지역응급의료기관","1","점심시간 13:00~14:00","안녕하세요? 최고의 치료가 될 수 있도록 최선을 다하는 구대한의원입니다. 머리떨림, 틱장애, 파킨슨병, 디스크 등의 질환을 치료합니다.","구일역 2번 출구 고척 스카이 돔구장 맞은편","구로성심병원","02-2067-1500","02-2067-1515","1730","1730","1730","1730","1730","1230","1800","1800","0900","0900","0900","0900","0900","0900","0900","0900","082","23","126.86636039556485","37.49964578669388","2025-04-07 15:14:44.0"
"A1100052","서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)","A","종합병원","G006","지역응급의료센터","1","접수시간 : 평일 08:30~17:00 / 토요일 08:30~12:00 진료시간 : 평일 09:00~17:00","외래 30분전 접수마감/토요일은 일부과만 진료하며, 진료과 사정상 토요진료가 어려울 수 있으니 안내전화로 문의 후 내원하시기 바랍니다.  ☎ 1588-1775(ARS 안내)","동대문역사문화공원역 13번출구 도보5분","국립중앙의료원","02-2260-7114","02-2276-2114","1700","1700","1700","1700","1700","1200","1300","1500","0830","0830","0830","0830","0830","0830","0800","0930","045","64","127.00579539705472","37.56733955813183","2025-04-07 15:14:44.0"
"A1100048","서울특별시 노원구 한글비석로 68, 을지병원 (하계동)","A","종합병원","G006","지역응급의료센터","1","평일 13:00-14:00 휴게시간","일반진료/미용성형/봉합/","하계역 3번 출구","노원을지대학교병원","02-970-8000","02-970-8282","1730","1730","1730","1730","1730","1230","2200","1500","0830","0830","0830","0830","0830","0830","1000","0900","018","30","127.07000281991385","37.636442927386746","2025-04-07 15:14:45.0"
"A1100044","서울특별시 중랑구 사가정로49길 53 (면목동)","A","종합병원","G007","지역응급의료기관","1","","일반진료/미용성형/봉합/","사가정역 1번 출구/까치어린이공원 옆","녹색병원","02-490-2000","02-490-2113","1730","1730","1730","1730","1730","1230","2200","1500","0830","0830","0830","0830","0830","0830","1000","0900","022","21","127.08605546969357","37.58362083896108","2025-04-07 15:14:45.0"
"A1100037","서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)","A","종합병원","G007","지역응급의료기관","1","휴게시간 평일 13:00~14:00 접수는 마감 10분 전까지","정형외과 전문의가 진료하는 정형외과 의원입니다.","구로디지털단지역 6번 출구 도보 10분","대림성모병원","02-829-9000","02-829-9129","1730","1730","1730","1730","1730","1230","1300","1500","0830","0830","0830","0830","0830","0830","0900","0900","074","42","126.90716948025135","37.49068925436284","2025-04-07 15:14:46.0"
"A1100024","서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)","A","종합병원","G007","지역응급의료기관","1","점심시간 없이 진료","보건복지부 지정 뇌혈관 전문병원 ( 종합병원 )","대림역 11번 출구","명지성모병원","02-1899-1475","02-829-7800","1800","1730","1800","1730","1730","1230","1300","1600","0830","0830","0830","0830","0830","0830","0900","0930","074","17","126.89925446922592","37.4938507104387","2025-04-07 15:14:49.0"
"A1100046","서울특별시 강서구 강서로 295 (내발산동)","A","종합병원","G009","응급실운영신고기관","1","응급분만 02-2007-1021","종합병원이며 산부인과 전문병원입니다. 진료과목은 소아청소년과,내분비내과,소화기내과,심장내과,류마티스내과,가정의학과,비뇨의학과,외과,영상의학과,마취통증의학과,병리과,진단검사의학과 전문센터로는 Miz분만센터,아이드림센터(난임),키즈센터,복강경센터,유방센터,소화기내시경센터,국민건강검진센터 운영.","압구정로데오역 2번 출구와 청담역 9번 출구 사이/청담사거리 인근","미즈메디병원","1588-2701","02-2007-1118","1700","1700","1700","1700","1700","1230","1300","1600","0830","0830","0830","0830","0830","0830","0900","0900","076","39","126.83602535156236","37.55225379358291","2025-04-07 15:14:50.0"
"A1100036","서울특별시 강서구 공항대로 389, 부민병원 (등촌동)","A","종합병원","G007","지역응급의료기관","1","점심시간 12:30~14:00","내과, 소아과, 이비인후과, 피부과","제기동역 2번 출구","부민병원","1577-7582","02-2620-0119","1800","1700","1700","1700","1700","1300","1700","1400","0900","0900","0900","0900","0900","0900","1300","0900","075","90","126.85094950539181","37.556940892893586","2025-04-07 15:14:51.0"
"A1100148","서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )","B","병원","G009","응급실운영신고기관","1","평일야간/일요일/공휴일 - 응급실 진료 가능","건강검진실/인공신장실 운영 보훈위탁병원 자보/산재 지정병원","2호선 서울대입구역 1번출구 200m","사랑의병원","02-880-0114","02-880-0119","1800","1800","1800","1800","1800","1300","1400","1230","0900","0900","0900","0900","0900","0900","0830","0900","087","89","126.956285774259","37.4796247835746","2025-04-07 15:14:52.0"
"A1100010","서울특별시 강남구 일원로 81 (일원동, 삼성의료원)","A","종합병원","G006","지역응급의료센터","1","휴게시간 13:00-14:00(목,토요일 제외) 접수마감 월,화,금 17:50/ 수 19:50/ 목,토 12:50 진료 마감 10분 전까지 내원 시 접수 가능합니다.","외래진료시간은 진료과목별 운영","일원역 1번 출구","삼성서울병원","02-3410-2114","02-3410-2060","1530","1530","1530","1530","1530","1300","1400","1300","0830","0830","0830","0830","0830","0900","1000","0830","063","51","127.08668245340024","37.48851613490445","2025-04-07 15:14:52.0"
"A1100021","서울특별시 동대문구 망우로 82 (휘경동)","A","종합병원","G006","지역응급의료센터","1","휴게시간 12:30-13:30","비뇨기과,피부과 클리닉","회기역 2번 출구","삼육서울병원","02-2244-0191","02-2210-3566","1700","1700","1700","1700","1230","1300","1700","1700","0900","0900","0900","0900","0900","0900","0900","0900","025","00","127.0653288266823","37.587992001305395","2025-04-07 15:14:52.0"
"A1100017","서울특별시 종로구 대학로 101 (연건동)","A","종합병원","G001","권역응급의료센터","1","정기휴무(매주 일요일)","서울대학교병원 치과진료는 서울대학교 치과병원에 문의 및 별도 접수 필요","혜화역 3번 출구","서울대학교병원","02-1588-5700","02-2072-2475","1800","1800","1800","1800","1800","1330","1400","1400","0800","0800","0800","0800","0800","0800","0900","0900","030","80","126.99896308412191","37.57966608924356","2025-04-07 15:14:53.0"
"A1107402","서울특별시 종로구 대학로 101 (연건동)","M","치과병원","G009","응급실운영신고기관","1","토요일-격주 근무 검진만 가능한 의원","건강검진만가능/일반진료불가","4호선 혜화역 3번 출구","서울대학교치과병원","1522-2700","02-6256-3362","1600","1600","1800","1600","1600","1100","1400","1400","0900","0900","0900","0900","0900","0900","0900","0900","030","80","126.997196437908","37.5804523853297","2025-04-07 15:14:53.0"
"A1100050","서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)","A","종합병원","G007","지역응급의료기관","1","13:00~14:00 점심시간","외래x, 입원만 가능","청량리역 3번 출구","서울성심병원","02-966-1616","02-966-1616","1740","1730","1740","1730","1740","1300","1700","1300","0900","0900","0900","0900","0900","0900","0900","1000","024","88","127.04983805981972","37.58419129209865","2025-04-07 15:14:54.0"
"A1100029","서울특별시 종로구 새문안로 9, 적십자병원 (평동)","A","종합병원","G007","지역응급의료기관","1","휴게시간 13:00-14:00(토요일 제외) 정기휴무(매주 일요일)","항문(전문)/하지정맥/갑상선/유방/위내시경/대장내시경/봉합/화상/탈장","서대문 사거리 지하철 5호선 서대문역 4번 출구 10미터","서울적십자병원","02-2002-8000","02-2002-8888","1730","1730","1730","1730","1730","1400","1300","1300","0830","0830","0830","0830","0830","0930","0800","0800","031","81","126.96699861289684","37.56715536263689","2025-04-07 15:14:54.0"
"A1100022","서울특별시 동대문구 무학로 124 (용두동)","A","종합병원","G007","지역응급의료기관","1","점심시간 13:00~14:00","월~금 점심시간 13~14시","제기동역 6번 출구","서울특별시 동부병원","02-920-9307","02-920-9119","1730","1730","1730","1730","1730","1400","1400","1600","0900","0900","0900","0900","0900","0900","1000","0900","025","84","127.03140257525507","37.57539886464885","2025-04-07 15:14:55.0"
"A1100040","서울특별시 동작구 보라매로5길 20 (신대방동)","A","종합병원","G006","지역응급의료센터","1","점심시간 13:00~14:00","서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.","지하철 9호선 등촌역 3번출구","서울특별시보라매병원","02-870-2114","02-870-2119","1700","1700","1700","1700","1700","1200","1400","1600","0900","0900","0900","0900","0900","0900","1000","0900","070","61","126.92404876254014","37.4937184009319","2025-04-07 15:14:55.0"
"A1100223","서울특별시 양천구 신정이펜1로 20 (신정동)","A","종합병원","G007","지역응급의료기관","1","접수 시간 08:30~16:30","노인전문병원. 치매전문. 재활치료","신정이펜하우스 아파트 인근","서울특별시서남병원","1566-6688","02-6300-9129","1730","1730","1730","1730","1730","1200","1400","1600","0900","0900","0900","0900","0900","0900","1000","0900","080","49","126.8331299304024","37.51201935883779","2025-04-07 15:14:55.0"
"A1100035","서울특별시 중랑구 신내로 156 (신내동)","A","종합병원","G001","권역응급의료센터","1","접수 시간 08:30~16:30","응급결핵환자는 휴일없이 24시간 접수가능함","봉화산역 3번 출구/신내역 1번 출구","서울특별시서울의료원","02-2276-7000","02-2276-7000","1730","1730","1730","1730","1730","1200","1400","1600","0900","0900","0900","0900","0900","0900","1000","0900","020","53","127.0980910949257","37.61286931510163","2025-04-07 15:14:55.0"
"A1100172","서울특별시 강북구 도봉로 374 (번동, 서울현대병원)","B","병원","G009","응급실운영신고기관","1","일요일, 공휴일 휴무 응급실은 365일 24시간 정상 운영   점심시간 13:00~14:00 08/15 광복절 일반진료 휴무","24시간 응급진료 및 응급수술하며. 특히 상하지절단 접헙수술, 힘줄, 혈관,신경절단접합 수술, 골절 및 탈구수술 및 정복, 어깨 및 슬관절,.고관절.기타관절의 인공관절수술, 척추체골절 및 디스크파열 수술, 맹장.탈장.담석등 복강경수술,  기타 MRI.CT.초음파.위대장내시경등 검사.","4호선 수유역 1번 출구(강북구청 사거리)","서울현대병원","02-1588-6853","02-902-9119","1800","1800","1800","1800","1800","1300","1400","1730","0900","0900","0900","0900","0900","0900","1000","0900","010","56","127.028504374531","37.6402559204261","2025-04-07 15:14:55.0"
"A1100028","서울특별시 강동구 성안로 150 (길동)","A","종합병원","G006","지역응급의료센터","1","접수마감은 끝나기 40분 전, 12:30~13:30 점심시간","치과의원","강동역 2번 출구","성심의료재단강동성심병원","02-2224-2114","02-2224-2358","1730","1730","1730","1730","1730","1230","1200","1400","0830","0830","0830","0830","0830","0830","0900","0900","053","55","127.13526354631517","37.53598408220376","2025-04-07 15:14:55.0"
"A1100054","서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)","A","종합병원","G006","지역응급의료센터","1","점심시간:12시~13시30분","뇌신경센터, 소화기내시경센터, 관절센터 등을 운영하고 있으며 응급심혈관시술 가능, 응급의료센터는 24시간 전문의 직접 진료 가능.","대방역 3번 출구","성애의료재단성애병원","02-840-7114","02-840-7115","1730","1730","1730","1730","1730","1300","1200","1800","0900","0900","0900","0900","0900","0900","0900","0930","073","54","126.92236733617031","37.51205044957338","2025-04-07 15:14:55.0"
"A1100032","서울특별시 종로구 통일로 256 (무악동)","A","종합병원","G007","지역응급의료기관","1","평일 13:00-14:00 휴게시간","365일 내과, 소아과 진료합니다. 평일은 9시부터 23시까지 주말 공휴일은 9시부터 21시까지 진료합니다.","독립문역 1번 출구","세란병원","02-737-0181","02-737-0181","1800","1800","1800","1800","1800","1230","1400","2130","0900","0900","0900","0900","0900","0900","1000","0900","030","30","126.9577071892358","37.57534016994642","2025-04-07 15:14:55.0"
"A1100004","서울특별시 용산구 대사관로 59 (한남동)","A","종합병원","G006","지역응급의료센터","1","점심시간: 13-14시","비만/비염/통증(어깨 허리 무릎)","효창공원앞역 2번출구 금양초 맞은편","순천향대학교 부속 서울병원","02-709-9114","02-709-9117","1700","1700","1700","1700","1700","1200","1400","1400","0900","0900","0900","0900","0900","0900","0930","0900","044","01","127.00441798640304","37.53384172231443","2025-04-07 15:14:56.0"
"A1100063","서울특별시 마포구 서강로 110, 지2층~6층 (신수동)","B","병원","G009","응급실운영신고기관","1","응급실은 24시간 운영","신촌 로터리 위치 절단,혈관,신경 등 미세수지 접합 수술 잘함. 24시간 365일 응급실 운영","신촌역 7, 8번 출구","신촌연세병원","02-337-7582","02-337-7582","1700","1700","1700","1700","1700","1230","1500","1700","0830","0830","0830","0830","0830","0830","0900","0930","040","94","126.933734666413","37.5525892651719","2025-04-07 15:14:57.0"
"A1100045","서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)","A","종합병원","G009","응급실운영신고기관","1","점심시간 13:00~14:00 진료 마감 20분 전에 접수 마감","CM병원은 68년의 전통을 가진 종합병원으로서 정형외과1~11, 내과1~3, 산부인과,  일반외과, 신경과, 마취통증의학과, 진단검사의학과, 영상진단의학과, 건강관리과를 갖추고 있습니다.","영등포소방서 뒷편 영등포 타임스퀘어 맞은편","씨엠병원","02-2678-0001","070-4698-7811","1730","1730","1730","1730","1730","1230","1600","1500","0900","0900","0900","0900","0900","0900","0930","1000","073","01","126.90367981067837","37.518848328762154","2025-04-07 15:14:57.0"
"A1100015","서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)","A","종합병원","G006","지역응급의료센터","1","점심시간 13:00~14:00","소아청소년과 진료시간: 09:00~22:00 (만 16세미만 내과적 질환)","한티역 6번 출구, 도곡중 옆","연세대학교의과대학강남세브란스병원","02-2019-3114","02-2019-3333","1730","1730","1730","1730","1730","1230","1430","1400","0830","0830","0830","0830","0830","0830","0930","1000","062","73","127.04631254186797","37.492806984645476","2025-04-07 15:14:59.0"
"A1100007","서울특별시 서대문구 연세로 50-1 (신촌동)","A","종합병원","G006","지역응급의료센터","1","점심시간 13:00~14:00","소아청소년과 진료시간: 09:00~22:00 (만 16세미만 내과적 질환)","2호선 신촌역 1번출구 셔틀버스 이용 또는 3번 출구 10분 거리/중앙선 신촌역 2번 출구","연세대학교의과대학세브란스병원","02-2228-0114","02-2227-7777","1730","1730","1730","1730","1730","1230","1430","1400","0830","0830","0830","0830","0830","0830","0930","1000","037","22","126.94082769649863","37.56211711412639","2025-04-07 15:14:59.0"
"A1100042","서울특별시 강서구 하늘길 70 (과해동)","A","종합병원","G009","응급실운영신고기관","1","휴게시간 12:30-13:30 진료종료 30분 전 접수마감","원인치료 최소절개 척추 관절 전문 서울김포공항 우리들병원","1)지하철 김포공항역 내려서 한국공항공사 출구에서 200m 2)버스 정류장 한국공항공사하차후 100m","우리들병원","02-2660-7500","02-2660-7057","1730","2000","2000","1730","1730","1300","1300","1700","0930","0930","0930","0930","0930","0930","0900","0930","075","05","126.7963653099318","37.56199597494205","2025-04-07 15:15:01.0"
"A1100152","서울특별시 은평구 연서로 177 (갈현동)","B","병원","G009","응급실운영신고기관","1","24시간 응급실 진료","갑상선,유방,치질,하지정맥류 전문","6호선 구산역 4번출구, 3,6호선 연신내역 6번 출구","은평연세병원","02-388-8114","02-388-0119","1730","1730","1730","1730","1730","1230","1800","1800","0830","0830","0830","0830","0830","0830","1000","1000","033","34","126.917472218592","37.6146922208583","2025-04-07 15:15:03.0"
"A1100025","서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)","A","종합병원","G007","지역응급의료기관","1","휴게시간 12:30-13:30(수,토요일 제외) 건강검진 월, 화, 목, 금요일 07:00-16:00 / 수, 토요일 07:00-10:00","30분 전 진료 마감, 후두내시경으로 이물제거 하지 않음","서대문구청앞 교차로 인근","의료법인동신의료재단동신병원","02-396-9161","02-396-9161","1730","1730","1730","1730","1730","1230","1630","1300","0900","0900","0900","0900","0900","0900","0930","0900","036","53","126.93658306608872","37.58110428173239","2025-04-07 15:15:03.0"
"A1100041","서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)","A","종합병원","G006","지역응급의료센터","1","정기휴무(매주 일요일)","26개과 289병상 운영 종합병원","서울 관악구 신림동 신림사거리에서 강남방향100미터(지하철2호선1번출구)","의료법인서울효천의료재단에이치플러스양지병원","02-1877-8875","070-4665-9119","1730","1730","1730","1730","1730","1230","1630","1300","0830","0830","0830","0830","0830","0830","0930","0900","087","79","126.93253922577287","37.48427507045319","2025-04-07 15:15:03.0"
"A1100030","서울특별시 강북구 도봉로 301 (수유동, 대한병원)","A","종합병원","G009","응급실운영신고기관","1","","물리치료 가능","지하철 4호선 수유역 5번 출구역 정면방향 3분거리","의료법인성화의료재단대한병원","02-903-3232","02-905-9110","1800","1800","1800","1800","1800","1300","1700","1700","0900","0900","0900","0900","0900","0900","1000","1000","010","81","127.02267251878474","37.63547043209498","2025-04-07 15:15:03.0"
"A1100255","서울특별시 영등포구 당산로31길 10 (당산동3가)","B","병원","G009","응급실운영신고기관","1","응급실 24시간 진료","의료재단 우리아이들병원은 서울 서남권역 최초로 설립된 어린이 병원으로서, 20명의 소아청소년 전문의(소아영상의학과, 소아내분비과, 소아청소년 정신건강의학과, 소아심장과, 소아치과)와 130여 명의 병원 가족들이 함께 우리아이들의 건강을 책임지고 있습니다.","영등포구청역 3번 출구  영등포구청 옆","의료법인인봉의료재단영등포병원","02-2635-2809","02-2632-0013","1730","1730","1730","1730","1730","1230","2400","2400","0830","0830","0830","0830","0830","0830","0000","0000","072","56","126.89561402986","37.526858089517","2025-04-07 15:15:03.0"
"A1100023","서울특별시 은평구 통일로 873 (갈현동)","A","종합병원","G007","지역응급의료기관","1","휴게시간 13:00-14:00(토요일 제외) 정기휴무(매주 일요일)","뇌졸중, 파킨슨병, 치매를 비롯한 노인성질환에 적합한 신경과, 재활의학 및 신장내과, 한방과 진료합니다. [전문재활치료, 신경과특화, 인공신장실, 양한방협진, 인증의료기관, 적정성평가1등급, 소방안전관리모범사업장]","연신내역 7번 출구","의료법인청구성심병원","02-350-3300","02-383-0129","1730","1730","1730","1730","1730","1220","2100","2000","0830","0830","0830","0830","0830","0830","0900","0900","033","30","126.91955399169245","37.62079154435882","2025-04-07 15:15:03.0"
"A1100075","서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)","A","종합병원","G007","지역응급의료기관","1","응급실운영시간 : 24시간","건강검진센터를 포함한 모든 진료과가 08시(오전 8시) 부터 시작합니다.","7호선 상봉역 5번출구에서 구리방향버스 탑승","의료법인풍산의료재단동부제일병원","02-437-5011","02-490-8880","1730","1730","1730","1730","1730","1230","2100","2000","0800","0800","0800","0800","0800","0800","0900","0900","020","63","127.1090292210168","37.60067564592665","2025-04-07 15:15:03.0"
"A1100020","서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)","A","종합병원","G006","지역응급의료센터","1","토요진료 한시적 중단","의료법인한국의료재단","쌍문역 3번 출구","의료법인한전의료재단한일병원","02-901-3114","02-901-3119","1730","1730","1730","1730","1730","1230","2100","2000","0900","0900","0900","0900","0900","0900","0900","0900","014","50","127.02902417950423","37.64611570419094","2025-04-07 15:15:03.0"
"A1100005","서울특별시 양천구 안양천로 1071 (목동)","A","종합병원","G001","권역응급의료센터","1","휴게시간 13:00-14:00 진료종료 1시간 전 접수마감 정기휴무(매주 수, 일요일) - 해당 주 공휴일 있을 경우 수요일 진료합니다.","평일 외래진료시간 진료과목별 차이운영","당산역, 영등포구청역, 오목교역에서 셔틀버스 이용","이화여자대학교의과대학부속목동병원","02-2650-5114","02-2650-5911","1730","1730","1730","1730","1730","1200","1800","1300","0800","0800","0800","0800","0800","0900","1000","0900","079","85","126.8862159683056","37.53654282637804","2025-04-07 15:15:04.0"
