id,category,info
37,당뇨,"건강한 식단, 특히 저당 식단은 혈당을 안정시키는 데 효과적이에요."
38,당뇨,적정 체중 유지와 꾸준한 운동은 당뇨 예방에 큰 도움이 돼요.
39,당뇨,당뇨는 조기 발견하면 합병증 예방이 훨씬 쉬워져요.
40,당뇨,과체중이나 비만은 당뇨 발생 위험을 크게 높인답니다.
41,당뇨,가족력이 있다면 정기검진으로 미리 확인해야 해요.
42,당뇨,"당뇨 합병증에는 눈, 신경, 신장 문제가 포함될 수 있어요."
43,당뇨,혈당 조절이 잘 되면 당뇨 합병증 위험도 낮아져요.
44,당뇨,공복 혈당과 식후 혈당 모두 체크하는 것이 중요해요.
45,당뇨,때때로 인슐린 주사나 약물 치료가 필요할 수 있어요.
46,당뇨,운동은 혈당을 낮추고 인슐린 저항성을 개선해요.
47,당뇨,식사 시간을 규칙적으로 지키면 혈당 관리에 도움이 돼요.
48,당뇨,"당뇨는 ‘조용한 질환’이니, 자가 관리가 필수예요."
49,당뇨,식사량 조절은 혈당 스파이크를 막는 데 효과적이에요.
50,당뇨,당뇨는 꾸준한 관리와 관심으로 충분히 컨트롤할 수 있어요.
51,당뇨,정기적인 검진은 당뇨의 진행 상황을 쉽게 파악할 수 있게 해줘요.
52,당뇨,건강한 식단에는 신선한 채소와 과일이 빠질 수 없어요.
53,당뇨,당뇨 환자도 맛있고 건강한 음식을 즐길 수 있어요.
54,당뇨,"스트레스는 혈당에도 영향을 주니, 즐겁게 스트레스 해소하세요."
55,당뇨,충분한 수분 섭취는 혈당 조절에도 긍정적 영향을 줘요.
56,당뇨,규칙적인 수면은 몸의 호르몬 균형을 맞춰줘요.
57,당뇨,당뇨 관리도 내 몸을 사랑하는 마음에서 시작돼요.
58,당뇨,건강검진 기록을 통해 내 혈당 상태를 꼼꼼히 확인해요.
59,당뇨,당뇨는 ‘관리하는 당뇨’로 충분히 건강하게 살 수 있어요.
60,당뇨,당뇨 예방과 관리는 꾸준한 관심과 생활습관 개선에서 비롯돼요!
61,이상지질혈증,이상지질혈증은 혈액 속 콜레스테롤과 중성지방 수치에 이상이 생긴 상태를 말해요.
62,이상지질혈증,'나쁜' LDL 콜레스테롤은 혈관 벽에 침착되어 동맥경화를 유발할 수 있어요.
63,이상지질혈증,'좋은' HDL 콜레스테롤은 혈관에서 콜레스테롤을 간으로 옮겨줘요.
64,이상지질혈증,이상지질혈증은 심혈관질환의 중요한 위험 요인이에요.
65,이상지질혈증,불포화지방은 콜레스테롤 수치를 개선하는 데 도움이 돼요.
66,이상지질혈증,포화지방과 트랜스지방은 피해야 할 요소랍니다.
67,이상지질혈증,건강한 식습관은 이상지질혈증 예방의 기본이에요.
68,이상지질혈증,정기적인 건강검진을 통해 내 혈중 지질 상태를 확인하세요.
69,이상지질혈증,혈중 LDL 수치를 낮추는 것이 심장 건강에 중요해요.
70,이상지질혈증,HDL 수치를 높이면 혈관을 깨끗하게 유지할 수 있어요.
71,이상지질혈증,"생선, 견과류, 올리브유 등은 좋은 지방 공급원이죠."
72,이상지질혈증,식이섬유가 풍부한 식단은 콜레스테롤 흡수를 줄여줘요.
73,이상지질혈증,꾸준한 운동은 이상지질혈증 관리에 큰 도움을 줘요.
74,이상지질혈증,체중 감량은 혈중 지질 수치 개선에 직접적인 효과가 있어요.
75,이상지질혈증,과음과 흡연은 혈중 지질을 악화시킬 수 있으니 피해야 해요.
76,이상지질혈증,가공식품보다 신선한 재료를 사용한 요리가 좋아요.
77,이상지질혈증,저염식 식단은 이상지질혈증 예방에도 효과적이에요.
78,이상지질혈증,건강한 지방을 선택하는 것이 혈관 건강의 비결이에요.
79,이상지질혈증,이상지질혈증은 생활습관의 작은 변화로 충분히 개선 가능해요.
80,이상지질혈증,외식할 때도 메뉴의 조리법과 재료에 주의를 기울여야 해요.
81,이상지질혈증,꾸준한 운동과 건강한 식습관은 최고의 콜레스테롤 관리법이에요.
82,이상지질혈증,정기적인 건강 체크로 내 콜레스테롤 상태를 파악하세요.
83,이상지질혈증,스트레스를 줄이면 혈중 지질에도 긍정적인 효과가 있어요.
84,이상지질혈증,내 몸에 맞는 식단과 운동 계획을 세워보세요.
85,이상지질혈증,콜레스테롤 수치 개선은 하루아침에 이루어지지 않으니 꾸준함이 필요해요.
86,이상지질혈증,건강검진 기록을 통해 내 지질 상태를 쉽게 파악할 수 있어요.
87,이상지질혈증,의사와 상담하며 필요한 경우 약물 치료도 고려해 보세요.
88,이상지질혈증,식사 전후로 내 몸의 변화를 체크하는 습관을 들여보세요.
89,이상지질혈증,건강한 생활습관은 이상지질혈증과의 싸움에서 최고의 무기가 돼요.
90,이상지질혈증,자신의 몸을 사랑하는 마음으로 매일 건강한 선택을 실천해 보세요!
